image_path,true_idx,pred1_idx,score1,pred2_idx,score2,pred3_idx,score3,top1_correct,split
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106023\1769.jpg,1,59,0.9986544847488403,28,0.9986526966094971,94,0.9986457824707031,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106023\302199.jpg,1,40,0.9985224008560181,59,0.9985188841819763,9,0.9985154867172241,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106023\302200.jpg,1,78,0.9982194304466248,59,0.9982167482376099,96,0.9981763958930969,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106023\302201.jpg,1,78,0.9983060956001282,59,0.9982898235321045,93,0.9982705116271973,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106023\302202.jpg,1,59,0.9984380006790161,78,0.9983957409858704,4,0.9983838796615601,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106023\302205.jpg,1,40,0.9982216954231262,59,0.9982131719589233,78,0.9981957077980042,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106023\302206.jpg,1,59,0.9982153177261353,4,0.9981723427772522,97,0.9981712102890015,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106023\302505.jpg,1,78,0.9996079802513123,13,0.9996008276939392,35,0.9995979070663452,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106023\302704.jpg,1,59,0.9982904195785522,40,0.9982690811157227,97,0.9982624053955078,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106023\302707.jpg,1,59,0.9981915950775146,41,0.9981430768966675,40,0.998114287853241,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106023\302708.jpg,1,97,0.9983664155006409,59,0.9983128905296326,94,0.9982898235321045,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106023\302709.jpg,1,4,0.9991440773010254,82,0.9991304874420166,59,0.9991250038146973,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106023\302710.jpg,1,78,0.9982075095176697,40,0.998185932636261,59,0.9981840252876282,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154113.jpg,3,4,0.998663604259491,3,0.9986537098884583,96,0.9986258149147034,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154115.jpg,3,54,0.9989855885505676,96,0.9989792108535767,40,0.9989727735519409,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154119.jpg,3,2,0.9990358948707581,96,0.9990202784538269,42,0.9990190267562866,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154120.jpg,3,4,0.9988259673118591,2,0.9987854957580566,42,0.9987806081771851,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154122.jpg,3,4,0.9991190433502197,2,0.9991025924682617,3,0.9990831017494202,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154124.jpg,3,4,0.9992554187774658,3,0.9992215633392334,2,0.9992115497589111,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154336.jpg,3,42,0.9986511468887329,4,0.998627781867981,96,0.9986020922660828,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154337.jpg,3,4,0.9987207651138306,47,0.9987145066261292,42,0.9987094402313232,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154338.jpg,3,42,0.9986478686332703,4,0.9986451864242554,96,0.9985723495483398,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154339.jpg,3,4,0.9986562132835388,42,0.9986120462417603,2,0.9985970258712769,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154340.jpg,3,47,0.9985088109970093,96,0.9984982013702393,44,0.9984838962554932,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154341.jpg,3,47,0.99871826171875,96,0.9987172484397888,15,0.9987087249755859,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154342.jpg,3,2,0.9985936284065247,4,0.9985792636871338,42,0.9985517263412476,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154343.jpg,3,47,0.9984540343284607,59,0.9984194040298462,96,0.9984174966812134,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154344.jpg,3,25,0.9987735152244568,96,0.9987591505050659,47,0.9987563490867615,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154345.jpg,3,2,0.9987420439720154,60,0.9987344145774841,3,0.9987334609031677,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\154348.jpg,3,3,0.998936116695404,54,0.9989051818847656,60,0.9989030957221985,1,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\624.jpg,3,4,0.9988216161727905,3,0.9988213777542114,2,0.99880450963974,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\106461\625.jpg,3,3,0.9988263845443726,4,0.9988121390342712,2,0.9988080859184265,1,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\110432\1010.jpg,5,96,0.9985336065292358,4,0.9985023736953735,33,0.9984939098358154,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\110432\1012.jpg,5,9,0.9989309906959534,96,0.9989197850227356,93,0.9989123344421387,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\110432\1013.jpg,5,78,0.9984201788902283,59,0.9984198212623596,96,0.9984195232391357,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\110432\293566.jpg,5,42,0.9989382028579712,82,0.9988921880722046,25,0.9988806247711182,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\110432\293567.jpg,5,83,0.9988645911216736,25,0.9988119602203369,82,0.9987978339195251,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\110432\293568.jpg,5,78,0.9990900158882141,56,0.9990772604942322,9,0.9990675449371338,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\110432\293569.jpg,5,42,0.9989092350006104,96,0.9988564252853394,78,0.9988548159599304,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\110432\293570.jpg,5,60,0.9987862706184387,94,0.9987816214561462,9,0.9987814426422119,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\121836\2512.jpg,9,27,0.9994731545448303,9,0.99946129322052,30,0.9994536638259888,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\121836\2513.jpg,9,27,0.9994534254074097,9,0.9994434118270874,30,0.9994249939918518,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\121836\2514.jpg,9,78,0.9992730617523193,33,0.9992401003837585,13,0.9992339611053467,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\121836\2516.jpg,9,78,0.99944007396698,33,0.999415934085846,27,0.9993985891342163,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\121836\2518.jpg,9,9,0.999509334564209,27,0.9994985461235046,30,0.9994858503341675,1,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\121836\2519.jpg,9,78,0.9993074536323547,13,0.9992660880088806,33,0.9992637038230896,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\12518\10715.jpg,12,12,0.999638557434082,93,0.9995415210723877,60,0.9995362758636475,1,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\12518\11297.jpg,12,34,0.9998117685317993,93,0.9997971057891846,63,0.9997930526733398,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\12518\11350.jpg,12,59,0.9989941716194153,33,0.9989306330680847,40,0.9989150166511536,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\12518\11351.jpg,12,59,0.9991104602813721,12,0.9991063475608826,33,0.9990895390510559,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\12518\11352.jpg,12,12,0.9992144107818604,59,0.9992043972015381,93,0.9991800785064697,1,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\12518\11353.jpg,12,59,0.9990833401679993,12,0.9990320801734924,30,0.9990285038948059,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\12518\11471.jpg,12,4,0.9983318448066711,97,0.9983301162719727,59,0.9982981085777283,0,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\12518\11476.jpg,12,12,0.9984109997749329,40,0.998410701751709,27,0.9984044432640076,1,without_pair
C:\Users\User\Documents\GitHub\COS30082_ML_project\AML_project_herbarium_dataset\train\photo\12518\11499.jpg,12,12,0.9990147352218628,59,0.9989651441574097,40,0.9989607334136963,1,without_pair
